/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
90833: putCount 24319
90844: putCount 8994
90845: putCount 16193
90908: putCount 31940
90948: putCount 44180
91038: putCount 57167
91157: putCount 78997
91158: putCount 32470
91380: putCount 116077
91409: putCount 7882
91418: putCount 8445
91432: putCount 13351
91477: putCount 50090
91534: putCount 17176
91553: putCount 31957
91568: putCount 19766
91576: putCount 12898
91590: putCount 19983
91673: putCount 53923
91736: putCount 27726
91761: putCount 31157
91797: putCount 23379
91897: putCount 76466
91923: putCount 13816
91926: putCount 7544
91961: putCount 48839
92143: putCount 83768
92224: putCount 74542
92241: putCount 23781
92382: putCount 53831
92385: putCount 12338
92408: putCount 34468
92448: putCount 36815
92482: putCount 27908
92566: putCount 72114
92640: putCount 46369
92732: putCount 62831
92768: putCount 40874
92774: putCount 9311
92812: putCount 21083
92865: putCount 21842
92967: putCount 65434
93032: putCount 63309
93040: putCount 5383
93045: putCount 14563
93087: putCount 34641
93104: putCount 23621
93114: putCount 29431
93131: putCount 15670
93132: putCount 10650
93239: putCount 82559
93305: putCount 45550
93493: putCount 82450
93494: putCount 20038
93593: putCount 63099
93616: putCount 19205
93617: putCount 5735
93675: putCount 46733
93760: putCount 57332
93800: putCount 33445
93813: putCount 6461
93850: putCount 34654
93852: putCount 4798
93900: putCount 38848
93911: putCount 6010
93961: putCount 32506
93969: putCount 26490
93989: putCount 34083
94058: putCount 53769
94063: putCount 10104
94078: putCount 17604
94091: putCount 35037
94140: putCount 46619
94353: putCount 138721
94367: putCount 14619
94387: putCount 18510
94480: putCount 33207
94532: putCount 42508
94534: putCount 3441
94568: putCount 9016
94578: putCount 28364
94591: putCount 5990
94629: putCount 63116
94668: putCount 45293
95014: putCount 174839
95018: putCount 15005
95033: putCount 19765
95113: putCount 51942
95125: putCount 16637
95140: putCount 16851
95225: putCount 38752
95240: putCount 3184
95257: putCount 20315
95319: putCount 51711
95390: putCount 59035
95505: putCount 56535
95524: putCount 35531
95549: putCount 37867
95565: putCount 13378
95574: putCount 4508
95585: putCount 18824
95601: putCount 26255
95724: putCount 62161
95764: putCount 50234
95790: putCount 32181
95901: putCount 50155
95930: putCount 20699
95994: putCount 55663
95997: putCount 29007
96120: putCount 83167
96203: putCount 44662
96360: putCount 78693
96379: putCount 27489
96459: putCount 39559
96478: putCount 25179
96493: putCount 32348
96577: putCount 47621
96602: putCount 31458
96650: putCount 37357
96701: putCount 42096
96791: putCount 73706
96793: putCount 12192
96813: putCount 13530
96828: putCount 16000
96851: putCount 41040
96891: putCount 33924
96994: putCount 50578
97083: putCount 84562
97106: putCount 34008
97252: putCount 96785
97305: putCount 44933
97551: putCount 91902
97625: putCount 78287
97698: putCount 55300
97723: putCount 20662
97799: putCount 43300
97855: putCount 34397
97884: putCount 36111
97979: putCount 53107
98012: putCount 26909
98077: putCount 79792
98091: putCount 24180
98188: putCount 91470
98193: putCount 21000
98290: putCount 33353
98291: putCount 17519
98370: putCount 48159
98388: putCount 20607
98429: putCount 28374
98443: putCount 10015
98492: putCount 36347
98510: putCount 9621
98524: putCount 7902
98540: putCount 11871
98567: putCount 13392
98588: putCount 17007
98595: putCount 24395
98648: putCount 30089
98675: putCount 24585
98742: putCount 52982
98979: putCount 124554
98985: putCount 51530
99400: putCount 150608
99460: putCount 97801
99470: putCount 7970
99533: putCount 45243
99545: putCount 15412
99684: putCount 86365
99723: putCount 22917
99727: putCount 14736
99771: putCount 37440
99786: putCount 3947
99795: putCount 21497
99867: putCount 52053
99887: putCount 12265
99896: putCount 8263
99972: putCount 59690
99979: putCount 16064
28: putCount 34935
35: putCount 7626
105: putCount 54782
247: putCount 94814
376: putCount 73914
406: putCount 28787
462: putCount 56431
487: putCount 40911
713: putCount 119751
732: putCount 10978
743: putCount 14607
758: putCount 24518
806: putCount 39007
813: putCount 12250
815: putCount 1045
824: putCount 24971
965: putCount 77422
1014: putCount 43640
1060: putCount 20729
1127: putCount 51241
1141: putCount 18592
1246: putCount 81337
1259: putCount 10980
1268: putCount 41424
1577: putCount 161551
1629: putCount 45840
1795: putCount 96283
1796: putCount 12861
1824: putCount 24422
1838: putCount 20702
1861: putCount 13597
1890: putCount 25415
1934: putCount 52129
2011: putCount 37598
2021: putCount 26259
2156: putCount 84566
2158: putCount 11147
2169: putCount 11412
2232: putCount 39158
2287: putCount 52638
2322: putCount 42374
2327: putCount 26971
2380: putCount 23308
2490: putCount 55302
2504: putCount 14030
2515: putCount 7759
2527: putCount 17654
2535: putCount 15471
2560: putCount 39459
2569: putCount 1713
2576: putCount 25066
2719: putCount 69676
2720: putCount 14364
2736: putCount 6612
2742: putCount 11619
2751: putCount 13193
2779: putCount 36778
2849: putCount 68796
2913: putCount 41992
2926: putCount 13804
2933: putCount 10969
3004: putCount 38129
3035: putCount 25147
3108: putCount 46090
3121: putCount 14338
3136: putCount 23230
3183: putCount 32897
3213: putCount 35057
3226: putCount 20178
3298: putCount 54163
3316: putCount 21032
3323: putCount 12582
3337: putCount 17182
3357: putCount 23078
3400: putCount 28656
3459: putCount 33212
3491: putCount 9601
3533: putCount 75164
3549: putCount 42903
3759: putCount 129311
3776: putCount 16165
3787: putCount 13393
3789: putCount 14238
3796: putCount 5199
3820: putCount 27324
3842: putCount 27770
3901: putCount 57046
4023: putCount 70947
4062: putCount 39628
4154: putCount 40450
4178: putCount 9932
4228: putCount 73299
4372: putCount 102058
4485: putCount 50306
4509: putCount 31132
4552: putCount 42918
4600: putCount 28670
4685: putCount 53816
4686: putCount 4650
4732: putCount 11906
4796: putCount 62958
4831: putCount 28795
4832: putCount 2609
4858: putCount 36513
4897: putCount 36231
4961: putCount 45405
5177: putCount 96799
5187: putCount 20212
5214: putCount 24494
5225: putCount 7763
5245: putCount 17106
5370: putCount 95749
5389: putCount 24995
5442: putCount 40211
5488: putCount 31483
5499: putCount 14776
5573: putCount 29203
5586: putCount 25748
5615: putCount 23290
5715: putCount 66569
5717: putCount 11035
5725: putCount 21586
5791: putCount 22721
5810: putCount 17284
5814: putCount 1450
5825: putCount 31132
5827: putCount 16385
5890: putCount 47086
5917: putCount 36060
5921: putCount 14427
6029: putCount 45425
6064: putCount 28909
6148: putCount 54440
6231: putCount 50684
6367: putCount 104071
6415: putCount 56069
6438: putCount 28304
6443: putCount 14188
6482: putCount 24168
6503: putCount 19375
6623: putCount 73950
6731: putCount 72896
6774: putCount 26493
6787: putCount 15033
6814: putCount 21306
6902: putCount 70173
7054: putCount 102750
7265: putCount 124907
7269: putCount 8231
7271: putCount 17835
7348: putCount 50242
7372: putCount 4197
7391: putCount 12494
7422: putCount 42318
7442: putCount 13834
7482: putCount 33364
7510: putCount 48558
7738: putCount 88430
7772: putCount 72333
7849: putCount 35673
7862: putCount 38700
7964: putCount 68129
8007: putCount 42676
8024: putCount 17846
8067: putCount 32201
8077: putCount 8353
8090: putCount 10385
8119: putCount 23602
8128: putCount 7055
8185: putCount 28470
8189: putCount 12114
8207: putCount 13257
8285: putCount 56398
8287: putCount 2358
8306: putCount 25572
8322: putCount 11350
8339: putCount 11834
8347: putCount 8529
8352: putCount 19708
8447: putCount 53644
8530: putCount 59004
8596: putCount 46543
8598: putCount 15856
8630: putCount 32061
8636: putCount 12165
8644: putCount 8868
8650: putCount 12957
8714: putCount 41201
8730: putCount 31087
8743: putCount 13531
8855: putCount 66596
8884: putCount 26425
8909: putCount 39596
8965: putCount 50542
9014: putCount 32855
9023: putCount 21700
9039: putCount 22733
9117: putCount 53912
9148: putCount 18132
9149: putCount 12783
9165: putCount 16954
9168: putCount 12622
9185: putCount 18285
9237: putCount 36441
9258: putCount 22233
9349: putCount 74616
9374: putCount 20307
9391: putCount 14683
9420: putCount 21859
9431: putCount 9057
9456: putCount 25552
9525: putCount 59868
9600: putCount 32519
9669: putCount 50780
9696: putCount 17860
9704: putCount 13297
9727: putCount 12717
9827: putCount 75088
9839: putCount 17284
9897: putCount 42777
9902: putCount 6968
9968: putCount 36569
10031: putCount 50878
10065: putCount 34614
10067: putCount 18306
10149: putCount 39394
10170: putCount 48519
10233: putCount 35222
10323: putCount 35804
10383: putCount 54830
10472: putCount 67102
10476: putCount 16710
10506: putCount 22035
10516: putCount 27228
10517: putCount 6742
10584: putCount 55021
10641: putCount 40269
10767: putCount 96657
10853: putCount 47026
10905: putCount 39304
10958: putCount 42040
11013: putCount 30444
11063: putCount 52632
11087: putCount 21161
11105: putCount 26014
11115: putCount 31113
11307: putCount 93071
11351: putCount 27432
11415: putCount 68187
11464: putCount 16830
11479: putCount 34099
11481: putCount 11726
11497: putCount 19005
11539: putCount 27723
11560: putCount 12167
11601: putCount 51216
11674: putCount 42989
11680: putCount 19176
11718: putCount 17402
11783: putCount 42889
11800: putCount 28955
11807: putCount 9536
11894: putCount 73981
11930: putCount 44885
11951: putCount 21131
11969: putCount 32700
11979: putCount 27276
12133: putCount 82546
12146: putCount 33515
12206: putCount 64932
12208: putCount 14881
12247: putCount 39577
12450: putCount 127415
12485: putCount 37677
12501: putCount 37135
12734: putCount 112518
12797: putCount 45398
12820: putCount 26624
12848: putCount 10002
12863: putCount 24849
12926: putCount 51686
12939: putCount 20322
12941: putCount 5506
12993: putCount 53907
13173: putCount 131957
13278: putCount 63336
13373: putCount 57059
13420: putCount 35794
13436: putCount 9479
13461: putCount 35210
13488: putCount 43890
13578: putCount 41070
13590: putCount 23360
13656: putCount 39022
13706: putCount 40574
13834: putCount 56256
13846: putCount 17512
13866: putCount 19786
13882: putCount 19824
13891: putCount 12958
13990: putCount 72431
14054: putCount 50639
14076: putCount 10504
14153: putCount 59533
14241: putCount 52953
14365: putCount 87489
14486: putCount 75085
14557: putCount 56696
14597: putCount 47405
14613: putCount 29087
14620: putCount 7441
14666: putCount 17335
14728: putCount 20218
14733: putCount 14281
14744: putCount 20554
14749: putCount 17916
14823: putCount 46836
14860: putCount 18252
14863: putCount 30396
14898: putCount 36646
14990: putCount 41427
14994: putCount 15273
15040: putCount 43687
15127: putCount 55275
15135: putCount 13219
15160: putCount 23439
15270: putCount 62958
15273: putCount 17436
15446: putCount 93837
-----------------------
Put Finger alltogether: 75207021
X:2000
NetworkSize: 2501
15506: writeCount 11319
15555: writeCount 10844
15577: writeCount 11153
15662: writeCount 15647
15695: writeCount 14113
15702: writeCount 12524
15725: writeCount 6293
15745: writeCount 5213
15768: writeCount 6919
15870: writeCount 14441
15924: writeCount 18283
15930: writeCount 16008
15999: writeCount 12912
16036: writeCount 11220
16041: writeCount 11124
16132: writeCount 13366
16140: writeCount 10514
16148: writeCount 10810
16208: writeCount 7571
16213: writeCount 7494
16268: writeCount 11958
16333: writeCount 12834
16410: writeCount 19703
16504: writeCount 23538
16566: writeCount 24067
16579: writeCount 16805
16606: writeCount 10181
16640: writeCount 7431
16676: writeCount 9706
16677: writeCount 7362
16803: writeCount 16329
16809: writeCount 13798
16910: writeCount 23152
16939: writeCount 14176
16995: writeCount 18498
17054: writeCount 15037
17071: writeCount 13090
17110: writeCount 11356
17138: writeCount 8313
17204: writeCount 13375
17356: writeCount 24981
17364: writeCount 23005
17369: writeCount 17235
17373: writeCount 1698
17385: writeCount 2044
17444: writeCount 7427
17471: writeCount 9804
17488: writeCount 10287
17499: writeCount 5772
17503: writeCount 3118
17547: writeCount 6256
17554: writeCount 5647
17562: writeCount 6222
17649: writeCount 10177
17652: writeCount 9754
17658: writeCount 9530
17722: writeCount 7302
17727: writeCount 7478
17760: writeCount 10472
17848: writeCount 13050
18047: writeCount 31930
18105: writeCount 34394
18142: writeCount 30293
18144: writeCount 9750
18198: writeCount 9344
18239: writeCount 9750
18440: writeCount 29705
18556: writeCount 35990
18652: writeCount 41397
18658: writeCount 21879
18813: writeCount 26349
18868: writeCount 21486
18899: writeCount 23990
19026: writeCount 21598
19033: writeCount 16757
19207: writeCount 31895
19386: writeCount 36152
19465: writeCount 44452
19491: writeCount 28463
19507: writeCount 12181
19569: writeCount 10963
19587: writeCount 9639
19639: writeCount 13280
19658: writeCount 8895
19676: writeCount 8836
19679: writeCount 3933
19720: writeCount 6237
19773: writeCount 9815
19809: writeCount 12989
19887: writeCount 16620
19925: writeCount 15138
19954: writeCount 14467
20128: writeCount 24261
20158: writeCount 23480
20165: writeCount 21314
20186: writeCount 5845
20238: writeCount 8067
20298: writeCount 13724
20336: writeCount 14944
20343: writeCount 10389
20354: writeCount 5529
20359: writeCount 2346
20391: writeCount 4805
20435: writeCount 8318
20440: writeCount 8063
20464: writeCount 7363
20487: writeCount 5197
20564: writeCount 12707
20676: writeCount 21254
20753: writeCount 26753
20757: writeCount 19445
20780: writeCount 10410
20830: writeCount 7600
20839: writeCount 8045
20861: writeCount 8264
20883: writeCount 5575
20922: writeCount 8234
20950: writeCount 8757
20965: writeCount 8039
21011: writeCount 8904
21021: writeCount 7157
21042: writeCount 7987
21130: writeCount 12443
21148: writeCount 12831
21204: writeCount 16769
21230: writeCount 9878
21251: writeCount 10173
21262: writeCount 5766
21268: writeCount 3818
21280: writeCount 2906
21289: writeCount 2619
21292: writeCount 2326
21322: writeCount 4174
21323: writeCount 3411
21368: writeCount 7623
21466: writeCount 14491
21511: writeCount 18837
21603: writeCount 23539
21610: writeCount 14344
21658: writeCount 14656
21676: writeCount 7224
21693: writeCount 8261
21720: writeCount 6231
21744: writeCount 6862
21750: writeCount 5712
21781: writeCount 6062
21887: writeCount 14285
21893: writeCount 14305
21968: writeCount 19070
21986: writeCount 9827
22002: writeCount 10839
22192: writeCount 22357
22253: writeCount 27319
22275: writeCount 27799
22293: writeCount 10100
22411: writeCount 16431
22412: writeCount 13799
22471: writeCount 18629
22504: writeCount 10185
22515: writeCount 10367
22517: writeCount 4631
22523: writeCount 1865
22567: writeCount 5141
22664: writeCount 15047
22694: writeCount 17114
22708: writeCount 14131
22728: writeCount 6342
22758: writeCount 6299
22879: writeCount 17427
23062: writeCount 33466
23085: writeCount 32781
23149: writeCount 27126
23166: writeCount 10397
23168: writeCount 8318
23286: writeCount 13573
23304: writeCount 14077
23323: writeCount 15358
23336: writeCount 4967
23396: writeCount 9212
23469: writeCount 14496
23473: writeCount 13584
23494: writeCount 9686
23507: writeCount 3812
23623: writeCount 15415
23714: writeCount 22614
23745: writeCount 23782
23747: writeCount 12323
23757: writeCount 4256
23785: writeCount 3811
24158: writeCount 40709
24161: writeCount 40121
24358: writeCount 57010
24360: writeCount 20109
24413: writeCount 25731
24456: writeCount 9953
24513: writeCount 15359
24540: writeCount 13084
24566: writeCount 11476
24583: writeCount 7117
24584: writeCount 4513
24600: writeCount 3460
24654: writeCount 7421
24694: writeCount 11100
24703: writeCount 10375
24794: writeCount 14043
24890: writeCount 19506
24998: writeCount 29446
25054: writeCount 25964
25073: writeCount 18425
25080: writeCount 8259
25108: writeCount 5336
25158: writeCount 8398
25184: writeCount 10330
25224: writeCount 11945
25227: writeCount 6913
25247: writeCount 6245
25271: writeCount 4616
25308: writeCount 8070
25353: writeCount 10685
25389: writeCount 11931
25404: writeCount 9722
25407: writeCount 5458
25472: writeCount 8378
25520: writeCount 11574
25522: writeCount 11477
25583: writeCount 11440
25600: writeCount 8457
25629: writeCount 10745
25632: writeCount 4932
25666: writeCount 6662
25685: writeCount 5866
25715: writeCount 8391
25728: writeCount 6521
25779: writeCount 9702
25818: writeCount 10538
25869: writeCount 13972
25995: writeCount 22066
25998: writeCount 17823
26039: writeCount 16813
26072: writeCount 8586
26103: writeCount 11084
26171: writeCount 13250
26214: writeCount 14327
26270: writeCount 16884
26271: writeCount 10101
26405: writeCount 19612
26475: writeCount 21112
26478: writeCount 20604
26519: writeCount 11401
26588: writeCount 11468
26617: writeCount 13945
26620: writeCount 10079
26794: writeCount 21124
26817: writeCount 20008
26820: writeCount 19997
26866: writeCount 7212
26955: writeCount 14773
26961: writeCount 15102
26969: writeCount 10351
26980: writeCount 2523
27036: writeCount 7600
27060: writeCount 9147
27078: writeCount 10166
27129: writeCount 9261
27134: writeCount 7438
27228: writeCount 15174
27237: writeCount 11034
27257: writeCount 12518
27355: writeCount 12705
27368: writeCount 13443
27436: writeCount 17795
27466: writeCount 11015
27514: writeCount 14612
27535: writeCount 9853
27561: writeCount 9486
27562: writeCount 4759
27598: writeCount 6428
27713: writeCount 15267
27730: writeCount 16870
27754: writeCount 15665
27909: writeCount 19671
27989: writeCount 26540
28018: writeCount 26326
28052: writeCount 15044
28105: writeCount 12280
28160: writeCount 14395
28187: writeCount 13670
28210: writeCount 10578
28235: writeCount 7485
28253: writeCount 6567
28272: writeCount 6435
28313: writeCount 7783
28342: writeCount 9295
28360: writeCount 8856
28372: writeCount 6299
28405: writeCount 6297
28411: writeCount 5016
28527: writeCount 15478
28535: writeCount 13021
28690: writeCount 27926
28734: writeCount 20734
28739: writeCount 20396
28742: writeCount 5240
28754: writeCount 1974
28777: writeCount 3777
28780: writeCount 3779
28790: writeCount 3596
28846: writeCount 6974
28908: writeCount 12839
28914: writeCount 12421
28940: writeCount 9382
28985: writeCount 8032
28999: writeCount 8725
29003: writeCount 6293
29015: writeCount 3043
29062: writeCount 6254
29090: writeCount 8613
29107: writeCount 9074
29201: writeCount 13893
29204: writeCount 11412
29217: writeCount 11287
29308: writeCount 10678
29313: writeCount 10873
29359: writeCount 14229
29393: writeCount 9081
29405: writeCount 9372
29428: writeCount 7326
29457: writeCount 6442
29497: writeCount 9206
29586: writeCount 16325
29618: writeCount 16215
29627: writeCount 13619
29639: writeCount 5293
29654: writeCount 4063
29733: writeCount 10654
29754: writeCount 11538
29812: writeCount 15858
29829: writeCount 9606
29865: writeCount 11065
29899: writeCount 8582
29945: writeCount 11491
29988: writeCount 12138
30010: writeCount 10966
30044: writeCount 9882
30079: writeCount 9576
30248: writeCount 24591
30324: writeCount 28914
30480: writeCount 39992
30623: writeCount 37457
30795: writeCount 48397
30796: writeCount 31734
30815: writeCount 19237
30885: writeCount 9039
30891: writeCount 9802
30929: writeCount 12203
30960: writeCount 7468
30976: writeCount 8440
31001: writeCount 7174
31014: writeCount 5304
31016: writeCount 3941
31034: writeCount 3253
31056: writeCount 4212
31078: writeCount 6216
31215: writeCount 18585
31252: writeCount 19618
31341: writeCount 26425
31376: writeCount 16255
31452: writeCount 20118
31454: writeCount 11299
31514: writeCount 13758
31522: writeCount 7014
31526: writeCount 7190
31561: writeCount 4709
31648: writeCount 12629
31670: writeCount 14798
31673: writeCount 11179
31693: writeCount 4508
31721: writeCount 5144
31732: writeCount 6127
31757: writeCount 6356
31815: writeCount 9246
31831: writeCount 9722
31840: writeCount 8146
31946: writeCount 13187
31989: writeCount 16463
32030: writeCount 19149
32031: writeCount 9007
32048: writeCount 5902
32075: writeCount 5072
32114: writeCount 8320
32138: writeCount 9052
32214: writeCount 14462
32217: writeCount 10829
32223: writeCount 8569
32307: writeCount 9188
32331: writeCount 11248
32352: writeCount 12787
32356: writeCount 5233
32367: writeCount 3977
32370: writeCount 1748
32401: writeCount 4548
32413: writeCount 4837
32444: writeCount 7615
32447: writeCount 4752
32466: writeCount 5526
32517: writeCount 7311
32518: writeCount 7093
32524: writeCount 5934
32553: writeCount 3659
32563: writeCount 4552
32589: writeCount 6439
32617: writeCount 6298
32635: writeCount 7058
32679: writeCount 8857
32705: writeCount 8655
32727: writeCount 9286
32748: writeCount 6837
32915: writeCount 20731
32982: writeCount 25291
33000: writeCount 24984
33072: writeCount 16592
33079: writeCount 9791
33105: writeCount 11072
33133: writeCount 6086
33176: writeCount 9946
33187: writeCount 8145
33193: writeCount 5969
33194: writeCount 1951
33218: writeCount 3040
33223: writeCount 3028
33257: writeCount 6271
33331: writeCount 11433
33374: writeCount 15257
33376: writeCount 12004
33425: writeCount 9439
33457: writeCount 8716
33461: writeCount 8587
33640: writeCount 21559
33658: writeCount 20162
33681: writeCount 22024
33717: writeCount 7654
33733: writeCount 7460
33788: writeCount 10711
33832: writeCount 11527
33916: writeCount 18326
33972: writeCount 19079
34068: writeCount 23730
34095: writeCount 17935
34146: writeCount 17379
34234: writeCount 16585
34309: writeCount 21551
34435: writeCount 29857
34439: writeCount 21422
34462: writeCount 15291
34466: writeCount 3699
34564: writeCount 12544
34594: writeCount 13294
34606: writeCount 14088
34615: writeCount 5206
34627: writeCount 3387
34630: writeCount 2450
34679: writeCount 6614
34788: writeCount 16726
34879: writeCount 25105
34914: writeCount 23500
34931: writeCount 14301
34964: writeCount 9338
34996: writeCount 8352
35027: writeCount 9739
35078: writeCount 11526
35130: writeCount 13608
35144: writeCount 11846
35217: writeCount 14399
35225: writeCount 9405
35275: writeCount 13166
35299: writeCount 8413
35372: writeCount 14913
35495: writeCount 22164
35512: writeCount 21366
35520: writeCount 14859
35529: writeCount 3840
35559: writeCount 5246
35685: writeCount 17379
35693: writeCount 16554
35697: writeCount 13907
35733: writeCount 4881
35808: writeCount 11564
35875: writeCount 17817
35949: writeCount 21537
35972: writeCount 16316
35996: writeCount 12076
36051: writeCount 10115
36067: writeCount 9456
36072: writeCount 7584
36076: writeCount 2793
36081: writeCount 1393
36092: writeCount 1969
36262: writeCount 18431
36297: writeCount 22097
36322: writeCount 22897
36388: writeCount 12497
36397: writeCount 9840
36479: writeCount 15525
36497: writeCount 10905
36521: writeCount 12445
36535: writeCount 5620
36584: writeCount 8695
36805: writeCount 28310
36895: writeCount 35912
37008: writeCount 42171
37027: writeCount 22142
37038: writeCount 14254
37154: writeCount 14814
37222: writeCount 19610
37223: writeCount 19100
37232: writeCount 7747
37278: writeCount 5570
37286: writeCount 6300
37358: writeCount 12610
37375: writeCount 9712
37421: writeCount 13843
37453: writeCount 9575
37497: writeCount 12233
37559: writeCount 13681
37567: writeCount 11665
37657: writeCount 15781
37680: writeCount 12029
37687: writeCount 11916
37717: writeCount 5909
37729: writeCount 4789
37790: writeCount 10311
37830: writeCount 11369
37833: writeCount 10443
37843: writeCount 5578
37911: writeCount 8182
37966: writeCount 13421
37998: writeCount 15562
38011: writeCount 9997
38046: writeCount 7965
38070: writeCount 7166
38097: writeCount 8606
38175: writeCount 13278
38197: writeCount 12642
38211: writeCount 11300
38254: writeCount 7880
38307: writeCount 11029
38363: writeCount 15285
38364: writeCount 11018
38496: writeCount 18870
38504: writeCount 14669
38540: writeCount 17572
38567: writeCount 7125
38573: writeCount 6895
38588: writeCount 4785
38621: writeCount 5353
38623: writeCount 5110
38649: writeCount 6040
38662: writeCount 4003
38776: writeCount 15311
38793: writeCount 14434
38830: writeCount 17395
38912: writeCount 14274
38997: writeCount 20510
38998: writeCount 17322
39058: writeCount 15180
39062: writeCount 7520
39070: writeCount 7127
39257: writeCount 20006
39310: writeCount 25775
39322: writeCount 25261
39436: writeCount 17855
39468: writeCount 15735
39498: writeCount 17986
39513: writeCount 8249
39527: writeCount 6175
39547: writeCount 4958
39610: writeCount 9749
39612: writeCount 8512
39672: writeCount 12356
39729: writeCount 12156
39757: writeCount 14245
39760: writeCount 8674
39779: writeCount 5080
39920: writeCount 16435
39957: writeCount 20328
40080: writeCount 30044
40085: writeCount 16430
40180: writeCount 22408
40200: writeCount 12164
40307: writeCount 22445
40323: writeCount 14442
40341: writeCount 14630
40349: writeCount 4269
40388: writeCount 6567
40425: writeCount 8460
40477: writeCount 12817
40482: writeCount 9415
40496: writeCount 7108
40526: writeCount 4923
40591: writeCount 11250
40608: writeCount 11230
40617: writeCount 9117
40645: writeCount 5230
40646: writeCount 3662
40656: writeCount 3812
40707: writeCount 6113
40713: writeCount 6824
40742: writeCount 8513
40772: writeCount 6511
40793: writeCount 7988
40859: writeCount 11981
40864: writeCount 9176
40927: writeCount 13291
41019: writeCount 15957
41029: writeCount 16976
41051: writeCount 12694
41059: writeCount 3858
41161: writeCount 13798
41218: writeCount 17396
41227: writeCount 16682
41275: writeCount 11276
41435: writeCount 21880
41500: writeCount 27504
41504: writeCount 23184
41509: writeCount 7422
41539: writeCount 3858
41571: writeCount 6625
41585: writeCount 7544
41646: writeCount 10758
41747: writeCount 17636
41784: writeCount 20449
41951: writeCount 30297
42024: writeCount 28720
42056: writeCount 27099
42074: writeCount 12335
42115: writeCount 9503
42157: writeCount 10143
42175: writeCount 10253
42282: writeCount 16704
42332: writeCount 17474
42384: writeCount 20790
42406: writeCount 12403
42421: writeCount 8903
42466: writeCount 8195
42482: writeCount 7565
42486: writeCount 6406
42493: writeCount 2666
42525: writeCount 4232
42527: writeCount 4068
42642: writeCount 14908
42643: writeCount 11883
42655: writeCount 12958
42664: writeCount 2295
42684: writeCount 4205
42702: writeCount 4698
42707: writeCount 4298
42715: writeCount 3103
42726: writeCount 2505
42755: writeCount 4666
42773: writeCount 5778
42836: writeCount 10876
42869: writeCount 11817
42903: writeCount 13089
42918: writeCount 8196
42936: writeCount 7026
42955: writeCount 5166
42980: writeCount 6251
43012: writeCount 7565
43015: writeCount 5937
43081: writeCount 10161
43107: writeCount 9986
43258: writeCount 24280
43268: writeCount 18485
43328: writeCount 22036
43441: writeCount 18095
43488: writeCount 21787
43494: writeCount 16259
43525: writeCount 8790
43554: writeCount 6496
43588: writeCount 9365
43637: writeCount 11430
43687: writeCount 13613
43707: writeCount 12472
43741: writeCount 10453
43885: writeCount 19761
43923: writeCount 21525
43945: writeCount 20235
43954: writeCount 6788
43967: writeCount 4304
43979: writeCount 3397
43984: writeCount 2944
44014: writeCount 4793
44062: writeCount 8622
44065: writeCount 8414
44098: writeCount 8371
44112: writeCount 4967
44115: writeCount 4991
44180: writeCount 8042
44219: writeCount 10819
44289: writeCount 17546
44297: writeCount 12116
44321: writeCount 10163
44338: writeCount 5290
44396: writeCount 9986
44432: writeCount 11078
44491: writeCount 15295
44509: writeCount 11304
44514: writeCount 8291
44526: writeCount 3568
44535: writeCount 2777
