/usr/lib/jdk1.8.0_111/bin/java -Didea.launcher.port=7538 -Didea.launcher.bin.path=/home/centos/Downloads/idea-IC-163.10154.41/bin -Dfile.encoding=UTF-8 -classpath /usr/lib/jdk1.8.0_111/jre/lib/charsets.jar:/usr/lib/jdk1.8.0_111/jre/lib/deploy.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/cldrdata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/dnsns.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jaccess.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/jfxrt.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/localedata.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/nashorn.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunec.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunjce_provider.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/sunpkcs11.jar:/usr/lib/jdk1.8.0_111/jre/lib/ext/zipfs.jar:/usr/lib/jdk1.8.0_111/jre/lib/javaws.jar:/usr/lib/jdk1.8.0_111/jre/lib/jce.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfr.jar:/usr/lib/jdk1.8.0_111/jre/lib/jfxswt.jar:/usr/lib/jdk1.8.0_111/jre/lib/jsse.jar:/usr/lib/jdk1.8.0_111/jre/lib/management-agent.jar:/usr/lib/jdk1.8.0_111/jre/lib/plugin.jar:/usr/lib/jdk1.8.0_111/jre/lib/resources.jar:/usr/lib/jdk1.8.0_111/jre/lib/rt.jar:/home/centos/IdeaProjects/Verk1/out/production/Verk1:/home/centos/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.12.1.jar:/home/centos/.ivy2/cache/org.scala-lang/scala-reflect/jars/scala-reflect-2.12.1.jar:/home/centos/Downloads/idea-IC-163.10154.41/lib/idea_rt.jar com.intellij.rt.execution.application.AppMain Main -s 1000 -e 100000 -n 3 -w 10000000 -i 500 -sm 3000
Parameters: S: 1000 , E: 100000 , N: 3 , W: 10000000 , I:500 , Sm: 3000
Resetting counter between each W random write operations
---------------------
---------------------
Testing writes by finger table
NetworkSize: 1001
48952: writeCount 32732
49121: writeCount 28169
49243: writeCount 34645
49261: writeCount 30899
49282: writeCount 15950
49305: writeCount 6114
49550: writeCount 28960
49607: writeCount 32634
49648: writeCount 34412
49750: writeCount 20067
50037: writeCount 42795
50106: writeCount 45648
50212: writeCount 45791
50580: writeCount 54333
50655: writeCount 54678
50665: writeCount 45275
50764: writeCount 18199
50768: writeCount 11253
50774: writeCount 10820
50781: writeCount 1673
50845: writeCount 7625
50997: writeCount 22231
51033: writeCount 25037
51560: writeCount 71318
51901: writeCount 90390
51931: writeCount 89823
52157: writeCount 59807
52190: writeCount 28692
52208: writeCount 27564
52215: writeCount 5652
52286: writeCount 9666
52588: writeCount 37758
52662: writeCount 44584
52836: writeCount 54746
52860: writeCount 27189
53212: writeCount 54776
53280: writeCount 44057
53469: writeCount 60381
53568: writeCount 35307
53575: writeCount 29393
53579: writeCount 11135
53783: writeCount 21491
53793: writeCount 21811
53911: writeCount 33036
53965: writeCount 18061
54156: writeCount 35929
54197: writeCount 28341
54244: writeCount 27607
54383: writeCount 22620
54443: writeCount 24454
54682: writeCount 43766
54712: writeCount 32789
54739: writeCount 29557
54943: writeCount 26209
55040: writeCount 32947
55363: writeCount 62582
55604: writeCount 65880
55708: writeCount 66639
55815: writeCount 45046
55938: writeCount 33456
56000: writeCount 29287
56116: writeCount 30310
56135: writeCount 19919
56265: writeCount 26747
56299: writeCount 18421
56320: writeCount 18586
56340: writeCount 7475
56447: writeCount 14782
56468: writeCount 14771
56664: writeCount 32336
56694: writeCount 24677
56755: writeCount 28763
56777: writeCount 11336
56781: writeCount 8687
57142: writeCount 38498
57377: writeCount 59517
57772: writeCount 98568
57783: writeCount 63660
57812: writeCount 43401
57881: writeCount 10902
57922: writeCount 13986
58025: writeCount 21359
58057: writeCount 17585
58115: writeCount 19172
58132: writeCount 10643
58214: writeCount 15774
58234: writeCount 11974
58265: writeCount 13286
58332: writeCount 11693
58480: writeCount 24323
58538: writeCount 27148
58555: writeCount 22092
58689: writeCount 21038
58701: writeCount 16395
58703: writeCount 14950
58723: writeCount 3517
58751: writeCount 5102
58800: writeCount 9874
58883: writeCount 16014
59003: writeCount 24903
59082: writeCount 27752
59171: writeCount 28480
59186: writeCount 18241
59517: writeCount 43775
59571: writeCount 40265
59602: writeCount 41890
59801: writeCount 28529
59805: writeCount 23473
59918: writeCount 31632
60028: writeCount 22627
60078: writeCount 27173
60337: writeCount 41977
60346: writeCount 31849
60538: writeCount 46074
61322: writeCount 98274
61373: writeCount 102484
61539: writeCount 99750
61557: writeCount 23280
61738: writeCount 36289
61830: writeCount 29018
61866: writeCount 30817
62074: writeCount 33626
62117: writeCount 28764
62272: writeCount 40741
62459: writeCount 38574
62519: writeCount 40172
62614: writeCount 34060
62682: writeCount 22252
62696: writeCount 17742
62703: writeCount 9027
62720: writeCount 3745
62737: writeCount 4061
62766: writeCount 6204
62949: writeCount 22996
62994: writeCount 25886
63017: writeCount 25239
63114: writeCount 16643
63147: writeCount 15296
63206: writeCount 18925
63341: writeCount 22633
63383: writeCount 23554
63448: writeCount 24216
63544: writeCount 20397
63609: writeCount 22754
63630: writeCount 18331
63668: writeCount 12446
63786: writeCount 17742
63942: writeCount 31143
63971: writeCount 30150
64097: writeCount 31003
64125: writeCount 18340
64133: writeCount 16301
64138: writeCount 4137
64157: writeCount 3207
64303: writeCount 16984
64438: writeCount 30232
64519: writeCount 36377
64572: writeCount 27077
64735: writeCount 29741
64833: writeCount 31449
64880: writeCount 30731
64934: writeCount 19662
64947: writeCount 11267
64960: writeCount 8049
65001: writeCount 6752
65022: writeCount 7573
65122: writeCount 16097
65123: writeCount 12136
65164: writeCount 13985
65273: writeCount 14935
65390: writeCount 26454
65453: writeCount 28791
65603: writeCount 33004
65604: writeCount 21463
65664: writeCount 21206
65679: writeCount 7694
65759: writeCount 15603
65890: writeCount 22541
66245: writeCount 56470
66687: writeCount 92474
66811: writeCount 91867
66814: writeCount 56696
66918: writeCount 23108
67229: writeCount 41753
67279: writeCount 46443
67295: writeCount 37668
67424: writeCount 19577
67495: writeCount 21749
67515: writeCount 22108
67550: writeCount 12681
67605: writeCount 10971
67663: writeCount 14881
67800: writeCount 25113
67820: writeCount 21727
67904: writeCount 24321
67926: writeCount 12715
67972: writeCount 15303
68191: writeCount 28828
68389: writeCount 46244
68440: writeCount 46820
68546: writeCount 35398
68574: writeCount 18580
68794: writeCount 35434
68802: writeCount 25631
69026: writeCount 45391
69042: writeCount 24870
69057: writeCount 25608
69064: writeCount 3781
69241: writeCount 19862
69327: writeCount 27041
69438: writeCount 37291
69483: writeCount 24201
69546: writeCount 21868
69554: writeCount 11739
69556: writeCount 7382
69572: writeCount 2630
69595: writeCount 4070
69639: writeCount 8439
69652: writeCount 8173
69671: writeCount 7817
69710: writeCount 7222
69789: writeCount 13792
69859: writeCount 19065
69886: writeCount 17824
70079: writeCount 29269
70104: writeCount 24521
70117: writeCount 23077
70162: writeCount 8163
70228: writeCount 12099
70283: writeCount 16177
70356: writeCount 19145
70471: writeCount 24372
70482: writeCount 20173
70751: writeCount 39491
70849: writeCount 37621
70920: writeCount 43621
70947: writeCount 19552
71006: writeCount 15853
71166: writeCount 24526
71304: writeCount 35622
71570: writeCount 56178
71575: writeCount 40852
71590: writeCount 28542
72114: writeCount 54316
72553: writeCount 97712
72747: writeCount 115515
72765: writeCount 65002
72916: writeCount 36185
72936: writeCount 18898
73057: writeCount 29051
73144: writeCount 22773
73327: writeCount 39172
73646: writeCount 58660
73701: writeCount 55360
73754: writeCount 42361
74013: writeCount 36565
74190: writeCount 48715
74366: writeCount 60770
74386: writeCount 37017
74463: writeCount 26976
74464: writeCount 9654
74661: writeCount 27494
74748: writeCount 28652
74850: writeCount 38799
74947: writeCount 28827
75179: writeCount 43248
75277: writeCount 42847
75440: writeCount 49251
75484: writeCount 30558
75485: writeCount 20814
75489: writeCount 4996
75804: writeCount 31919
75872: writeCount 38569
76145: writeCount 65454
76335: writeCount 53033
76557: writeCount 68542
76729: writeCount 58474
76887: writeCount 55296
77018: writeCount 46235
77099: writeCount 37327
77197: writeCount 31362
77511: writeCount 49434
77586: writeCount 48613
77638: writeCount 44047
77847: writeCount 33712
77909: writeCount 32440
78014: writeCount 37765
78051: writeCount 20446
78099: writeCount 18989
78190: writeCount 17606
78218: writeCount 16780
78420: writeCount 32093
78440: writeCount 24930
78500: writeCount 28167
78604: writeCount 18567
78732: writeCount 29415
78898: writeCount 39865
79146: writeCount 54220
79270: writeCount 53792
79681: writeCount 77903
79881: writeCount 72837
79905: writeCount 62635
80108: writeCount 42355
80174: writeCount 29082
80269: writeCount 36191
80282: writeCount 17179
80382: writeCount 20881
80410: writeCount 14258
80445: writeCount 16384
80475: writeCount 9225
80597: writeCount 18678
80709: writeCount 26360
80856: writeCount 38168
80862: writeCount 26530
80964: writeCount 25636
81081: writeCount 22307
81172: writeCount 30690
81447: writeCount 48012
81520: writeCount 43931
81541: writeCount 37069
81721: writeCount 27563
81762: writeCount 24278
81785: writeCount 24509
81792: writeCount 7156
81846: writeCount 8401
81878: writeCount 9220
81879: writeCount 8642
81959: writeCount 11183
81984: writeCount 10547
81996: writeCount 11671
82105: writeCount 14678
82195: writeCount 21309
82260: writeCount 26523
82266: writeCount 16202
82387: writeCount 18995
82404: writeCount 14250
82428: writeCount 16038
82611: writeCount 22373
82689: writeCount 28497
82749: writeCount 32171
